edad,ciudad,peso,ingresos,genero,nivel_educacional,fumador,actividad_fisica
,Concepción,97.6,631000.0,Masculino,Técnico,Sí,
26.0,Iquique,78.9,455000.0,Femenino,Media,No,Baja
43.0,sin información,99.9,886000.0,Femenino,Media,No,Moderada
70.0,Talca,75.3,443000.0,Otro,Media,No,
19.0,Iquique,81.5,419000.0,Femenino,Básica,Sí,Baja
37.0,Talca,88.9,564000.0,Masculino,Universitario,No,Baja
45.0,Santiago,72.7,469000.0,Masculino,Técnico,No,Baja
64.0,Iquique,46.7,386000.0,Femenino,Técnico,Sí,Alta
77.0,Concepción,81.8,354000.0,Otro,Básica,Sí,Baja
24.0,Puerto Montt,62.9,719000.0,Otro,Técnico,Sí,Moderada
61.0,Antofagasta,64.0,325000.0,Femenino,Media,Sí,Alta
78.0,Temuco,74.5,533000.0,Masculino,Básica,Sí,Alta
25.0,Temuco,78.5,658000.0,Femenino,Técnico,Sí,Baja
64.0,Antofagasta,72.3,666000.0,Otro,Básica,No,Moderada
52.0,Rancagua,79.5,410000.0,Otro,Básica,No,Alta
31.0,Santiago,59.4,469000.0,Femenino,Técnico,No,Baja
34.0,sin información,69.4,440000.0,Masculino,Media,No,Moderada
53.0,Concepción,82.7,270000.0,Femenino,Técnico,No,Baja
67.0,La Serena,96.6,581000.0,Masculino,,No,
57.0,Iquique,101.9,506000.0,Masculino,Universitario,Sí,Alta
21.0,Santiago,76.5,716000.0,Femenino,Técnico,,Alta
19.0,Iquique,82.6,377000.0,Femenino,Media,Sí,Baja
,Concepción,99.7,663000.0,Masculino,Universitario,No,Alta
23.0,Valparaíso,59.9,674000.0,Masculino,Universitario,No,Alta
71.0,Valparaíso,79.4,507000.0,Masculino,Técnico,Sí,Moderada
59.0,Santiago,81.5,174000.0,Masculino,Técnico,Sí,Moderada
,Puerto Montt,91.7,423000.0,Otro,Técnico,Sí,Baja
71.0,Concepción,52.9,768000.0,Femenino,Básica,Sí,
46.0,Concepción,55.9,545000.0,Masculino,Básica,Sí,Baja
35.0,Antofagasta,70.3,604000.0,Femenino,Básica,No,Baja
43.0,Puerto Montt,75.7,487000.0,Masculino,Técnico,No,Moderada
61.0,Talca,,466000.0,Femenino,Media,No,Alta
51.0,Talca,77.8,220000.0,Femenino,Universitario,Sí,
,La Serena,67.7,619000.0,Masculino,Básica,No,Baja
79.0,Temuco,76.2,662000.0,Masculino,Media,Sí,Baja
53.0,Valparaíso,74.5,357000.0,Femenino,Técnico,No,Moderada
,Talca,96.2,473000.0,Femenino,Básica,Sí,Moderada
48.0,sin información,72.5,,Femenino,Técnico,Sí,Baja
65.0,sin información,64.3,563000.0,Otro,Media,No,Alta
32.0,Talca,76.7,418000.0,Masculino,Básica,No,Baja
25.0,Concepción,73.0,640000.0,Otro,Básica,No,Moderada
31.0,Talca,,511000.0,Otro,Básica,No,
40.0,Valparaíso,69.8,118000.0,Masculino,Básica,No,Baja
77.0,Iquique,68.5,566000.0,Masculino,Media,Sí,Alta
74.0,Talca,61.8,649000.0,Otro,Básica,No,
79.0,Puerto Montt,85.5,327000.0,Masculino,,No,Baja
57.0,Talca,58.2,561000.0,Femenino,Universitario,Sí,Baja
38.0,Temuco,76.8,774000.0,Femenino,Técnico,No,
,Valparaíso,67.8,517000.0,Otro,Básica,Sí,Moderada
62.0,Puerto Montt,71.6,671000.0,Otro,Universitario,No,Alta
35.0,Antofagasta,76.2,434000.0,Masculino,Universitario,No,Baja
64.0,Puerto Montt,50.4,497000.0,Masculino,,Sí,Moderada
70.0,Temuco,72.9,469000.0,,Media,,Alta
41.0,Iquique,104.3,,Otro,Básica,No,
43.0,Valparaíso,46.6,478000.0,Femenino,Media,No,Alta
42.0,Antofagasta,69.1,255000.0,Femenino,Media,No,Alta
77.0,Temuco,86.8,450000.0,Masculino,Universitario,Sí,Alta
77.0,Temuco,74.5,701000.0,Femenino,Universitario,Sí,Alta
77.0,Santiago,80.3,355000.0,Masculino,Técnico,No,Alta
,Valparaíso,34.4,340000.0,Masculino,,No,Alta
58.0,Puerto Montt,79.0,509000.0,Masculino,Básica,Sí,Alta
46.0,Concepción,58.6,517000.0,Femenino,Universitario,Sí,Baja
32.0,Iquique,74.6,557000.0,Otro,Universitario,No,Baja
62.0,Concepción,69.6,483000.0,Otro,Básica,Sí,Alta
18.0,Puerto Montt,104.2,511000.0,Femenino,Técnico,Sí,Baja
42.0,Puerto Montt,78.2,447000.0,Otro,Universitario,,Alta
24.0,Valparaíso,68.3,309000.0,Masculino,Técnico,Sí,Baja
26.0,Puerto Montt,,489000.0,Otro,Media,No,
41.0,Santiago,71.8,609000.0,Femenino,Universitario,,Alta
18.0,Antofagasta,82.3,577000.0,Otro,Media,No,Moderada
61.0,Puerto Montt,68.8,238000.0,Masculino,Universitario,No,Alta
25.0,Concepción,62.4,538000.0,Masculino,Media,Sí,Alta
41.0,Puerto Montt,61.4,366000.0,Femenino,Universitario,No,Moderada
28.0,Santiago,78.0,709000.0,Femenino,Técnico,No,Moderada
68.0,Talca,81.4,549000.0,Femenino,Técnico,Sí,Moderada
34.0,Talca,90.4,634000.0,Masculino,Técnico,Sí,Alta
25.0,Temuco,55.1,503000.0,Otro,Media,Sí,
52.0,Iquique,77.9,490000.0,Otro,Técnico,No,Moderada
52.0,La Serena,68.2,724000.0,Femenino,Media,No,
50.0,sin información,68.6,646000.0,Otro,Universitario,No,Baja
76.0,sin información,76.0,518000.0,Otro,Media,No,Moderada
22.0,Temuco,76.1,470000.0,Femenino,Universitario,Sí,Moderada
59.0,Iquique,77.9,244000.0,Femenino,Básica,No,Moderada
,Talca,54.1,549000.0,Masculino,Básica,Sí,Moderada
75.0,Concepción,58.8,481000.0,Masculino,,Sí,Baja
58.0,Rancagua,92.3,583000.0,Masculino,Media,Sí,Alta
45.0,Iquique,66.7,629000.0,Masculino,Básica,Sí,Moderada
24.0,Iquique,74.6,685000.0,Otro,Básica,No,Moderada
26.0,Temuco,85.8,551000.0,Otro,Básica,Sí,Baja
25.0,Rancagua,77.0,343000.0,Masculino,Universitario,No,Moderada
29.0,Valparaíso,78.2,,Masculino,Técnico,Sí,Moderada
51.0,La Serena,83.4,,Femenino,Media,Sí,Baja
50.0,Valparaíso,38.3,700000.0,Otro,Básica,Sí,Moderada
65.0,Rancagua,62.7,774000.0,Otro,Universitario,No,Moderada
72.0,Valparaíso,77.0,464000.0,Masculino,Técnico,Sí,Baja
40.0,Santiago,90.8,281000.0,Otro,Técnico,Sí,Alta
79.0,Talca,71.0,403000.0,Femenino,,Sí,Moderada
41.0,Santiago,57.3,671000.0,Femenino,Universitario,Sí,Moderada
54.0,Puerto Montt,57.7,411000.0,Otro,Básica,,Alta
52.0,Valparaíso,83.3,588000.0,Masculino,Técnico,No,Baja
61.0,Puerto Montt,66.7,525000.0,Otro,Universitario,Sí,Alta
57.0,Concepción,69.9,607000.0,Femenino,Universitario,Sí,Moderada
39.0,Antofagasta,79.2,773000.0,Masculino,Media,No,Alta
44.0,Concepción,26.5,588000.0,Otro,Universitario,No,Baja
52.0,Rancagua,100.0,,Masculino,Técnico,No,Moderada
18.0,Iquique,59.0,,Masculino,Técnico,Sí,Baja
52.0,Talca,73.6,,Femenino,Universitario,No,Baja
54.0,Valparaíso,,381000.0,Masculino,Técnico,Sí,Alta
64.0,Temuco,63.7,603000.0,Otro,Universitario,No,
31.0,Antofagasta,88.7,567000.0,Masculino,Técnico,No,Baja
20.0,La Serena,41.3,454000.0,Masculino,Media,Sí,
18.0,La Serena,86.9,422000.0,Otro,Básica,No,
22.0,La Serena,65.9,455000.0,Femenino,Media,Sí,Baja
43.0,Valparaíso,77.3,420000.0,Femenino,,No,Baja
,La Serena,79.9,460000.0,Otro,Básica,Sí,Alta
,sin información,76.6,374000.0,Otro,Técnico,No,Baja
56.0,Antofagasta,57.0,,Femenino,,No,Baja
44.0,Santiago,64.5,547000.0,,Universitario,Sí,Alta
26.0,Iquique,48.1,552000.0,Otro,Básica,Sí,Moderada
,Antofagasta,77.4,,,Media,Sí,Alta
32.0,Santiago,95.5,473000.0,Otro,Básica,Sí,
43.0,Antofagasta,42.6,716000.0,Femenino,Técnico,No,Baja
59.0,Iquique,58.6,510000.0,Masculino,Media,No,Baja
77.0,Puerto Montt,67.3,690000.0,Masculino,Universitario,,Moderada
30.0,Valparaíso,72.6,351000.0,Otro,Técnico,No,Baja
68.0,Valparaíso,83.2,588000.0,Masculino,Media,No,Moderada
49.0,sin información,67.7,390000.0,Otro,Universitario,No,Moderada
56.0,Concepción,65.3,417000.0,Femenino,Técnico,Sí,Moderada
,La Serena,86.5,438000.0,Masculino,Universitario,No,Moderada
69.0,Rancagua,79.9,,,Básica,No,
78.0,Santiago,78.1,430000.0,Masculino,,Sí,Alta
49.0,Antofagasta,71.7,683000.0,Otro,Universitario,No,Alta
21.0,Concepción,,507000.0,Otro,Básica,,Baja
47.0,Iquique,60.2,534000.0,,Universitario,No,Baja
54.0,Rancagua,58.1,431000.0,Femenino,Técnico,Sí,Moderada
40.0,Iquique,81.2,629000.0,Masculino,Media,Sí,Baja
56.0,Valparaíso,45.6,553000.0,Femenino,Universitario,No,Alta
62.0,Valparaíso,71.4,454000.0,Otro,Media,Sí,Baja
32.0,La Serena,65.3,,Otro,Media,No,
60.0,Santiago,48.9,532000.0,Femenino,Universitario,No,Moderada
46.0,sin información,56.0,586000.0,Femenino,Básica,No,Moderada
53.0,Talca,68.4,353000.0,Masculino,Técnico,Sí,Moderada
30.0,Rancagua,85.5,456000.0,Otro,,No,Moderada
49.0,Rancagua,60.2,581000.0,Femenino,Técnico,No,Alta
24.0,La Serena,88.2,264000.0,Otro,Media,No,Baja
76.0,Valparaíso,70.9,403000.0,Otro,Universitario,No,Baja
68.0,La Serena,89.7,557000.0,Masculino,Básica,No,Moderada
39.0,Antofagasta,60.9,666000.0,Masculino,,Sí,Alta
45.0,Concepción,69.3,828000.0,Masculino,Media,No,Alta
19.0,Santiago,75.5,794000.0,Femenino,Universitario,Sí,Baja
59.0,Puerto Montt,67.3,522000.0,Otro,Universitario,No,Moderada
62.0,Temuco,84.3,427000.0,Femenino,Media,Sí,
79.0,Temuco,36.9,638000.0,Femenino,Media,No,Baja
74.0,La Serena,106.3,418000.0,Masculino,Media,No,Alta
70.0,Antofagasta,82.9,386000.0,Otro,,Sí,Alta
23.0,Concepción,67.4,454000.0,Otro,Media,Sí,Baja
45.0,Talca,61.7,435000.0,,Media,No,Moderada
45.0,Temuco,57.0,562000.0,Otro,Básica,Sí,Moderada
61.0,Concepción,79.7,410000.0,Masculino,Universitario,Sí,Baja
61.0,Santiago,84.9,513000.0,Femenino,Media,No,Baja
37.0,Iquique,67.6,739000.0,Femenino,Técnico,No,
47.0,Antofagasta,,,Masculino,Universitario,No,Moderada
79.0,Valparaíso,56.4,728000.0,Femenino,Técnico,No,
28.0,Concepción,53.7,680000.0,Femenino,,No,Baja
75.0,Santiago,97.2,589000.0,Masculino,Básica,Sí,Alta
72.0,Talca,78.9,447000.0,,Básica,No,Moderada
45.0,Puerto Montt,91.0,656000.0,Otro,Básica,Sí,Moderada
42.0,Valparaíso,57.2,463000.0,,Media,No,Moderada
56.0,Puerto Montt,56.1,500000.0,Masculino,Media,No,Baja
79.0,Talca,64.6,550000.0,Otro,Técnico,Sí,Alta
50.0,Santiago,57.6,,Otro,Básica,No,Alta
18.0,Temuco,80.6,392000.0,Femenino,Media,Sí,Moderada
74.0,Puerto Montt,58.7,271000.0,Otro,Universitario,Sí,Baja
44.0,Valparaíso,52.4,644000.0,Masculino,Media,Sí,Alta
79.0,La Serena,72.1,586000.0,Otro,Media,No,Baja
74.0,Rancagua,,242000.0,Femenino,Universitario,,Alta
69.0,Concepción,43.0,388000.0,Femenino,Básica,No,Moderada
30.0,Temuco,72.0,527000.0,Otro,Universitario,No,Baja
58.0,Puerto Montt,43.8,566000.0,Masculino,Básica,No,Moderada
20.0,sin información,81.6,,Masculino,Universitario,No,Alta
56.0,Concepción,49.1,487000.0,Femenino,Técnico,Sí,Alta
23.0,La Serena,36.4,581000.0,Femenino,Básica,No,Moderada
25.0,Talca,65.6,447000.0,Masculino,Media,No,Alta
44.0,Rancagua,72.2,538000.0,Otro,Técnico,No,Moderada
26.0,Santiago,77.4,427000.0,,Básica,No,Moderada
79.0,sin información,72.6,636000.0,Otro,Básica,Sí,Moderada
54.0,La Serena,,380000.0,Otro,Básica,Sí,Alta
50.0,Talca,80.7,329000.0,Masculino,,Sí,Baja
68.0,Antofagasta,84.4,504000.0,Femenino,Básica,Sí,Moderada
59.0,sin información,51.9,285000.0,Femenino,Media,Sí,Baja
61.0,Antofagasta,67.3,184000.0,Otro,Básica,No,Alta
41.0,Antofagasta,65.9,663000.0,Masculino,Media,Sí,Alta
32.0,Temuco,73.3,352000.0,Masculino,Media,Sí,Baja
76.0,Temuco,66.9,300000.0,Otro,Media,No,Moderada
71.0,Valparaíso,69.0,378000.0,Otro,Técnico,No,Alta
,Puerto Montt,79.6,372000.0,Otro,Media,Sí,
49.0,Puerto Montt,53.3,,Femenino,Universitario,No,Moderada
41.0,Santiago,81.1,336000.0,Otro,Básica,No,Baja
58.0,Puerto Montt,87.1,575000.0,Femenino,Universitario,Sí,Alta
69.0,sin información,94.5,597000.0,Masculino,,No,Baja
66.0,Valparaíso,37.8,309000.0,Masculino,,Sí,Alta
79.0,Valparaíso,67.3,407000.0,Femenino,Media,Sí,Baja
,Antofagasta,40.5,422000.0,Femenino,Básica,No,
75.0,Talca,33.5,475000.0,Femenino,Técnico,Sí,Alta
,Santiago,,662000.0,,Técnico,Sí,Alta
29.0,Antofagasta,64.0,671000.0,Otro,Universitario,No,Moderada
79.0,Talca,74.5,875000.0,Masculino,Básica,No,Moderada
56.0,Puerto Montt,77.3,160000.0,Otro,Básica,No,Baja
19.0,Antofagasta,88.7,361000.0,Femenino,Básica,No,Baja
20.0,Concepción,70.8,772000.0,Otro,,Sí,Alta
66.0,Puerto Montt,113.9,230000.0,Otro,Técnico,No,Alta
54.0,Talca,74.6,769000.0,Masculino,Media,No,Moderada
66.0,Santiago,97.6,522000.0,Otro,Básica,Sí,Moderada
,Talca,35.0,528000.0,Masculino,Universitario,Sí,Moderada
34.0,Antofagasta,90.2,308000.0,Femenino,Universitario,Sí,Baja
76.0,sin información,67.3,432000.0,Otro,Media,Sí,Moderada
,La Serena,,,Femenino,Técnico,No,Baja
19.0,Santiago,76.3,,Masculino,Básica,No,Moderada
19.0,Iquique,65.5,433000.0,Femenino,Básica,Sí,Moderada
45.0,Puerto Montt,78.7,561000.0,Femenino,Universitario,Sí,Alta
71.0,sin información,85.2,,Masculino,Técnico,Sí,Baja
40.0,Santiago,47.7,552000.0,Femenino,Básica,Sí,Moderada
54.0,Valparaíso,85.2,373000.0,Femenino,,No,Alta
49.0,Santiago,70.1,488000.0,Femenino,Técnico,Sí,Baja
50.0,sin información,90.3,404000.0,Otro,Técnico,No,Baja
18.0,Talca,66.9,229000.0,Femenino,Universitario,Sí,Moderada
36.0,Santiago,,572000.0,Masculino,Universitario,No,Baja
79.0,La Serena,70.4,315000.0,Otro,Básica,,Alta
,Iquique,,475000.0,Otro,Universitario,No,
70.0,Antofagasta,,639000.0,Masculino,Técnico,No,Baja
61.0,Rancagua,62.6,275000.0,Femenino,Básica,Sí,Alta
,Valparaíso,51.6,591000.0,Otro,Básica,No,Baja
49.0,Antofagasta,63.5,455000.0,Otro,Técnico,Sí,Alta
23.0,Rancagua,80.1,355000.0,Otro,Básica,No,Baja
49.0,Iquique,67.9,803000.0,Femenino,Media,No,
72.0,Iquique,85.1,,Otro,Media,Sí,Baja
21.0,Valparaíso,67.2,415000.0,Masculino,Básica,Sí,Alta
72.0,Valparaíso,48.5,383000.0,Femenino,Universitario,No,Baja
28.0,Iquique,79.0,632000.0,Masculino,Media,No,Baja
73.0,Rancagua,59.9,408000.0,,Básica,Sí,Moderada
76.0,Santiago,66.5,613000.0,,Media,No,Moderada
34.0,Puerto Montt,88.6,500000.0,Otro,Universitario,Sí,Baja
55.0,Concepción,52.6,667000.0,Otro,Técnico,Sí,Moderada
41.0,Antofagasta,72.5,344000.0,Masculino,Básica,Sí,Baja
22.0,Talca,69.4,365000.0,Femenino,Básica,No,Moderada
69.0,sin información,,458000.0,Otro,Básica,No,Alta
,Talca,82.8,470000.0,Otro,Básica,Sí,Alta
23.0,Rancagua,74.0,447000.0,Masculino,Básica,,Baja
,Talca,64.6,895000.0,Femenino,Básica,Sí,Baja
28.0,Valparaíso,77.1,809000.0,Masculino,Universitario,Sí,Alta
65.0,Puerto Montt,90.0,,Otro,Técnico,No,Alta
33.0,Puerto Montt,69.6,563000.0,Masculino,Universitario,Sí,Moderada
50.0,Valparaíso,66.0,465000.0,Otro,Universitario,No,Baja
26.0,La Serena,75.8,343000.0,Femenino,Técnico,Sí,Alta
77.0,Rancagua,70.6,473000.0,Masculino,Universitario,No,Alta
76.0,La Serena,49.9,616000.0,Otro,,No,Baja
23.0,La Serena,73.6,696000.0,Otro,Universitario,No,Moderada
33.0,Antofagasta,49.8,,,Básica,No,Moderada
46.0,Iquique,75.6,274000.0,,Media,No,Moderada
,Antofagasta,58.0,457000.0,Masculino,Media,Sí,Moderada
37.0,Iquique,70.6,280000.0,Otro,Técnico,Sí,Alta
77.0,sin información,75.9,,Masculino,Universitario,No,
76.0,Talca,106.8,438000.0,Otro,Universitario,Sí,Baja
53.0,Iquique,81.1,493000.0,,Media,Sí,Alta
36.0,Valparaíso,90.5,572000.0,Masculino,Universitario,Sí,Alta
43.0,Antofagasta,98.1,,Otro,Universitario,Sí,
20.0,Rancagua,77.3,540000.0,Otro,Técnico,Sí,Baja
36.0,Talca,74.3,464000.0,Otro,Media,Sí,Baja
37.0,Concepción,54.0,314000.0,Otro,Básica,,
49.0,Iquique,68.3,,Femenino,Media,,
,Concepción,59.2,473000.0,Otro,Técnico,Sí,Alta
69.0,Rancagua,64.0,749000.0,Otro,Técnico,Sí,Alta
58.0,La Serena,98.1,666000.0,Otro,Técnico,Sí,Alta
50.0,Puerto Montt,71.7,431000.0,Masculino,,No,Baja
57.0,sin información,56.9,291000.0,Otro,Media,No,Alta
56.0,Temuco,90.6,541000.0,Masculino,Universitario,Sí,Alta
35.0,Rancagua,84.3,408000.0,Masculino,Universitario,No,Moderada
57.0,Concepción,85.1,506000.0,Masculino,Media,No,Baja
18.0,Valparaíso,39.9,657000.0,Masculino,Técnico,,Alta
28.0,Antofagasta,99.2,252000.0,Femenino,Básica,No,Baja
45.0,Valparaíso,61.6,540000.0,Otro,Básica,Sí,Baja
74.0,Concepción,81.7,614000.0,Masculino,Media,No,
42.0,Antofagasta,,621000.0,Otro,Media,Sí,Moderada
67.0,Temuco,102.3,295000.0,Masculino,Técnico,No,Baja
40.0,Puerto Montt,55.3,563000.0,Femenino,Media,,Baja
48.0,Talca,48.3,681000.0,Masculino,Media,Sí,Baja
47.0,Concepción,91.5,551000.0,Otro,Técnico,,Alta
59.0,Iquique,72.1,483000.0,Otro,Técnico,Sí,Moderada
52.0,Concepción,62.5,,Femenino,Universitario,Sí,Alta
24.0,Concepción,79.3,396000.0,Otro,Media,No,Moderada
77.0,Antofagasta,67.6,271000.0,Otro,Básica,Sí,Moderada
33.0,Santiago,80.5,470000.0,Masculino,Media,Sí,Baja
43.0,sin información,71.0,580000.0,Otro,Básica,No,
65.0,Santiago,80.8,656000.0,Masculino,Básica,Sí,Alta
74.0,sin información,56.6,580000.0,Femenino,Básica,No,Moderada
69.0,sin información,,625000.0,Otro,Universitario,Sí,Baja
77.0,Puerto Montt,80.5,657000.0,Masculino,Técnico,No,Baja
66.0,La Serena,79.7,449000.0,Otro,Técnico,No,Baja
19.0,Temuco,53.2,478000.0,Masculino,Universitario,,Baja
18.0,La Serena,,693000.0,Femenino,Técnico,No,Alta
65.0,La Serena,,318000.0,Masculino,Universitario,Sí,Alta
79.0,Puerto Montt,80.9,,Otro,Media,Sí,Baja
29.0,Valparaíso,65.2,392000.0,,Universitario,No,Baja
22.0,Santiago,73.9,665000.0,Otro,Técnico,Sí,
54.0,Concepción,74.5,497000.0,Femenino,Técnico,Sí,Baja
49.0,Talca,27.7,501000.0,Masculino,Media,No,Baja
76.0,La Serena,78.7,759000.0,Otro,Universitario,Sí,Moderada
72.0,Iquique,99.5,339000.0,Otro,,Sí,Moderada
26.0,Temuco,78.1,532000.0,Otro,Básica,No,Moderada
,Valparaíso,55.6,473000.0,Masculino,Universitario,Sí,Moderada
52.0,La Serena,79.7,580000.0,Masculino,Media,Sí,Baja
36.0,Valparaíso,85.9,789000.0,Masculino,Media,No,Moderada
65.0,Valparaíso,77.7,409000.0,Femenino,Técnico,Sí,Moderada
33.0,La Serena,68.9,320000.0,Otro,Universitario,Sí,Alta
20.0,Antofagasta,66.4,379000.0,Otro,Básica,No,Moderada
37.0,Rancagua,66.3,,Femenino,Básica,Sí,Moderada
41.0,Iquique,80.5,510000.0,Femenino,Universitario,Sí,Baja
71.0,Concepción,48.9,517000.0,Masculino,Universitario,No,Moderada
73.0,sin información,64.4,770000.0,Masculino,Media,No,
50.0,Iquique,93.9,744000.0,Masculino,Técnico,Sí,Baja
41.0,Antofagasta,94.5,695000.0,Masculino,Técnico,Sí,Moderada
69.0,Concepción,47.8,877000.0,Masculino,Técnico,No,Baja
28.0,Valparaíso,53.0,624000.0,Masculino,,Sí,Moderada
66.0,Puerto Montt,65.9,666000.0,Femenino,Técnico,Sí,Alta
25.0,Temuco,83.4,621000.0,Femenino,Media,Sí,Alta
53.0,Santiago,42.6,596000.0,Femenino,,No,Moderada
55.0,Concepción,69.2,559000.0,Otro,Universitario,Sí,Alta
57.0,Iquique,62.9,440000.0,Otro,Técnico,Sí,Baja
37.0,Puerto Montt,89.9,313000.0,Masculino,Básica,No,Moderada
79.0,La Serena,44.8,480000.0,Femenino,,No,Baja
52.0,Rancagua,71.4,585000.0,Otro,Media,No,Alta
65.0,Iquique,64.1,511000.0,Otro,Técnico,Sí,Baja
,Valparaíso,92.0,340000.0,Femenino,Técnico,Sí,Alta
42.0,Rancagua,79.0,,Otro,Universitario,No,
52.0,Temuco,61.2,467000.0,Otro,Universitario,Sí,Alta
42.0,Temuco,82.8,491000.0,Femenino,,Sí,
46.0,Antofagasta,64.2,574000.0,Otro,Universitario,Sí,Alta
35.0,Talca,85.0,606000.0,Femenino,Técnico,Sí,
63.0,Antofagasta,66.4,425000.0,Otro,Media,No,Alta
35.0,sin información,85.8,,Femenino,Universitario,No,Moderada
19.0,Rancagua,76.5,670000.0,Otro,Técnico,Sí,Moderada
,sin información,118.9,548000.0,Otro,,No,Moderada
52.0,La Serena,69.2,600000.0,Femenino,Media,Sí,Moderada
33.0,Valparaíso,75.7,648000.0,Otro,Universitario,Sí,Baja
78.0,Rancagua,62.8,335000.0,Femenino,Técnico,No,Moderada
58.0,Antofagasta,70.0,658000.0,Femenino,Universitario,No,Alta
53.0,Santiago,29.5,381000.0,Otro,Universitario,Sí,Moderada
50.0,Talca,77.0,396000.0,Masculino,Técnico,Sí,Alta
,Talca,90.1,529000.0,Otro,Básica,Sí,Baja
,Valparaíso,75.9,,Masculino,Universitario,Sí,Moderada
31.0,Concepción,50.3,,,Universitario,No,Alta
